new_column,ts_code,trade_date,open,high,low,close,vol
41,UNH,2018-11-02,264.61,266.38,259.56,261.01,2593987
42,UNH,2018-11-05,262.15,263.0,260.07,261.01,3287028
43,UNH,2018-11-06,260.7,264.01,260.7,263.54,2582391
44,UNH,2018-11-07,266.9,276.75,266.9,274.63,5797082
45,UNH,2018-11-08,276.0,278.0,274.7,276.65,3809137
46,UNH,2018-11-09,276.86,278.0,274.19,276.55,2904456
47,UNH,2018-11-12,276.0,277.79,272.0,272.38,3140648
48,UNH,2018-11-13,272.58,273.6,268.14,269.22,2516970
49,UNH,2018-11-14,269.29,270.52,263.35,264.96,3511858
50,UNH,2018-11-15,264.0,265.92,260.85,264.94,3657641
51,UNH,2018-11-16,264.99,271.8,264.92,271.11,3857794
52,UNH,2018-11-19,271.48,272.27,264.18,266.05,3670800
53,UNH,2018-11-20,265.62,266.78,260.4,261.5,3617826
54,UNH,2018-11-21,262.59,264.63,260.45,260.55,3234298
55,UNH,2018-11-23,260.0,262.94,258.28,261.62,1159250
56,UNH,2018-11-26,264.62,268.3,263.5,266.16,3879762
57,UNH,2018-11-27,265.57,271.3,265.03,271.15,3497396
58,UNH,2018-11-28,272.82,282.4,272.82,280.95,5044449
59,UNH,2018-11-29,280.43,285.45,280.31,282.55,4177754
60,UNH,2018-11-30,282.99,283.64,279.07,281.36,6143329
61,UNH,2018-12-03,283.0,286.53,282.71,286.33,4178268
62,UNH,2018-12-04,286.15,287.94,276.91,278.55,4635456
63,UNH,2018-12-06,273.02,276.94,265.25,276.85,6694612
64,UNH,2018-12-07,273.76,276.42,267.28,269.18,3507115
65,UNH,2018-12-10,268.59,269.0,260.23,266.53,4061644
66,UNH,2018-12-11,269.58,271.53,265.67,267.22,3102759
67,UNH,2018-12-12,271.95,274.56,270.49,270.64,3167856
68,UNH,2018-12-13,270.86,273.32,269.62,272.15,2350792
69,UNH,2018-12-14,270.36,270.57,263.71,265.02,3360509
70,UNH,2018-12-17,261.04,262.75,256.734,258.07,5807157
71,UNH,2018-12-18,259.7,259.99,248.2,252.97,5065719
72,UNH,2018-12-19,252.37,256.56,247.59,250.31,5468527
73,UNH,2018-12-20,248.5,249.01,240.05,242.44,7311673
74,UNH,2018-12-21,240.73,247.5,237.45,238.34,12209672
75,UNH,2018-12-24,236.24,237.9,232.56,232.94,3090955
76,UNH,2018-12-26,232.7,243.37,231.81,243.35,4159282
77,UNH,2018-12-27,239.1,245.97,235.24,245.97,4295787
78,UNH,2018-12-28,246.71,249.79,244.81,246.24,3312862
79,UNH,2018-12-31,248.06,250.28,246.94,249.12,3123223
80,UNH,2019-01-02,245.0,246.35,241.47,243.49,4063606
81,UNH,2019-01-03,243.48,243.48,236.13,236.85,4623172
82,UNH,2019-01-04,239.8,243.46,238.8,239.62,5367608
83,UNH,2019-01-07,240.4,241.98,238.23,240.08,4132953
84,UNH,2019-01-08,242.33,244.79,239.71,243.29,3618666
85,UNH,2019-01-09,244.76,246.63,242.06,243.64,3425451
86,UNH,2019-01-10,242.08,245.14,241.41,244.87,3374481
87,UNH,2019-01-11,243.45,247.76,243.27,247.67,3967094
88,UNH,2019-01-14,246.59,249.92,246.11,248.06,4955469
89,UNH,2019-01-15,250.0,256.92,247.0,256.87,5325776
90,UNH,2019-01-16,258.73,262.19,258.17,261.46,6069471
91,UNH,2019-01-17,260.99,261.74,257.89,259.77,3583901
92,UNH,2019-01-18,262.6,266.26,260.42,265.5,4844751
93,UNH,2019-01-22,264.06,267.5,263.74,265.69,4052696
94,UNH,2019-01-23,267.75,269.47,263.67,267.02,2971227
95,UNH,2019-01-24,266.8,268.16,264.26,266.13,2927350
96,UNH,2019-01-25,268.8,270.41,265.7,268.05,2809188
97,UNH,2019-01-28,266.9,266.93,264.61,266.77,2837679
98,UNH,2019-01-29,266.0,268.45,265.44,267.34,2173024
99,UNH,2019-01-30,269.69,272.44,267.19,270.37,3659233
100,UNH,2019-01-31,270.48,271.74,268.99,270.2,4055122
101,UNH,2019-02-01,268.47,269.39,266.03,268.72,3946753
102,UNH,2019-02-04,268.31,268.69,264.27,268.21,3398925
103,UNH,2019-02-05,270.12,272.09,265.84,266.31,3597224
104,UNH,2019-02-06,265.14,269.93,264.98,269.5,2569965
105,UNH,2019-02-07,268.64,270.58,267.26,269.0,2458498
106,UNH,2019-02-08,267.5,268.7,260.32,261.9,4547448
107,UNH,2019-02-11,261.17,261.18,256.34,257.14,4856174
108,UNH,2019-02-12,259.22,264.0,256.92,263.5,4327961
109,UNH,2019-02-13,263.52,266.29,263.15,263.8,3066743
110,UNH,2019-02-14,263.24,267.07,262.71,265.33,3015655
111,UNH,2019-02-15,267.79,271.13,266.62,271.13,3673690
112,UNH,2019-02-19,271.17,272.49,269.28,270.41,2486689
113,UNH,2019-02-20,269.21,270.59,268.18,269.51,2802803
114,UNH,2019-02-21,269.47,269.94,265.1,266.4,2554273
115,UNH,2019-02-22,266.5,268.39,265.95,267.11,3191090
116,UNH,2019-02-25,267.58,268.17,264.38,264.6,3679125
117,UNH,2019-02-26,264.66,265.43,262.8,262.98,3212929
118,UNH,2019-02-27,261.61,261.61,248.94,250.08,8952928
119,UNH,2019-02-28,249.7,251.95,239.15,242.22,11034345
120,UNH,2019-03-01,243.56,248.0,243.56,246.15,6921274
121,UNH,2019-03-04,248.12,248.45,234.51,236.02,8646329
122,UNH,2019-03-05,236.53,243.2,234.94,241.43,6924867
123,UNH,2019-03-06,241.74,241.74,237.03,239.07,4878747
124,UNH,2019-03-07,240.3,241.18,235.55,236.7,5033537
125,UNH,2019-03-08,235.15,239.41,234.64,237.29,4921739
126,UNH,2019-03-11,239.21,244.02,236.42,243.15,4539618
127,UNH,2019-03-12,244.95,247.48,243.74,245.88,4235832
128,UNH,2019-03-13,247.96,252.76,247.08,252.25,4882034
129,UNH,2019-03-14,253.0,255.06,252.34,253.27,3865160
130,UNH,2019-03-15,254.34,254.74,249.94,251.4,6466186
131,UNH,2019-03-18,252.66,255.31,250.42,255.0,3927379
132,UNH,2019-03-19,255.95,259.25,255.14,257.13,4164789
133,UNH,2019-03-20,257.43,257.69,249.97,250.5,4193496
134,UNH,2019-03-21,249.19,252.96,248.66,252.02,2699799
135,UNH,2019-03-22,250.57,251.2,246.99,247.09,3778238
136,UNH,2019-03-25,247.42,247.42,240.78,246.86,4110942
137,UNH,2019-03-26,247.26,247.89,241.72,243.39,4416183
138,UNH,2019-03-27,242.94,245.68,238.16,241.71,4819232
139,UNH,2019-03-28,242.59,242.85,238.89,242.23,3601531
140,UNH,2019-03-29,244.29,247.76,241.87,247.26,4294167
141,UNH,2019-04-01,249.71,250.2,243.06,245.54,4809459
142,UNH,2019-04-02,245.51,246.4,242.8,244.41,4057091
143,UNH,2019-04-03,246.31,247.54,244.59,245.84,2851456
144,UNH,2019-04-04,245.48,249.11,244.64,247.39,2255521
145,UNH,2019-04-05,248.95,249.31,245.17,248.78,3343112
146,UNH,2019-04-08,249.68,249.68,246.31,248.75,2195490
147,UNH,2019-04-09,247.57,249.94,245.95,248.79,2904072
148,UNH,2019-04-10,248.78,249.87,245.52,246.03,2753784
149,UNH,2019-04-11,246.05,246.92,232.68,235.42,8223350
150,UNH,2019-04-12,236.5,236.78,220.77,223.22,13979434
151,UNH,2019-04-15,225.77,230.97,224.41,230.2,10021785
152,UNH,2019-04-16,238.01,238.01,215.82,220.96,27361432
153,UNH,2019-04-17,223.79,224.24,208.07,216.84,22101404
154,UNH,2019-04-18,217.14,223.0,214.21,221.75,13927214
155,UNH,2019-04-22,224.0,227.56,221.5,227.11,11191845
156,UNH,2019-04-23,228.25,231.94,226.1,230.58,10261445
157,UNH,2019-04-24,230.09,231.63,227.75,230.35,6104122
158,UNH,2019-04-25,228.53,232.12,228.13,230.79,5954533
159,UNH,2019-04-26,232.14,237.11,231.19,237.0,6186619
160,UNH,2019-04-29,237.4,238.06,234.16,237.45,5345317
161,UNH,2019-04-30,238.08,238.08,230.19,233.07,7632279
162,UNH,2019-05-01,233.07,234.62,230.35,231.95,4823160
163,UNH,2019-05-02,230.9,233.34,228.08,232.45,5499206
164,UNH,2019-05-03,232.84,233.9,227.18,231.95,4323138
165,UNH,2019-05-06,228.17,240.57,227.5,240.5,7180213
166,UNH,2019-05-07,239.19,243.15,236.4,238.05,5104669
167,UNH,2019-05-08,238.0,240.81,235.53,239.15,3768388
168,UNH,2019-05-09,236.6,240.54,235.67,237.97,4299681
169,UNH,2019-05-10,239.97,242.62,236.37,240.59,4374392
170,UNH,2019-05-13,236.45,240.1,236.2,239.55,4684437
171,UNH,2019-05-14,240.64,240.99,236.28,236.43,5329698
172,UNH,2019-05-15,235.0,237.53,232.62,236.08,5099948
173,UNH,2019-05-16,235.89,240.45,235.72,236.79,4456363
174,UNH,2019-05-17,236.17,242.44,235.65,241.38,4486406
175,UNH,2019-05-20,240.0,246.74,239.77,245.99,5390767
176,UNH,2019-05-21,247.01,251.18,246.8,249.94,5345383
177,UNH,2019-05-22,249.1,251.03,248.71,249.34,4038028
178,UNH,2019-05-23,247.98,248.15,244.39,246.5,3934570
179,UNH,2019-05-24,247.25,249.36,245.51,247.63,2974038
180,UNH,2019-05-28,248.5,249.3,241.98,242.06,6172696
181,UNH,2019-05-29,239.85,243.03,237.9,242.4,3958382
182,UNH,2019-05-30,241.92,245.35,241.34,243.5,2646971
183,UNH,2019-05-31,241.95,243.62,239.48,241.8,3285843
184,UNH,2019-06-03,241.49,243.8,236.02,236.56,4999517
185,UNH,2019-06-04,238.13,241.05,234.83,240.76,4992042
186,UNH,2019-06-05,243.17,245.79,241.23,242.77,3194422
187,UNH,2019-06-06,243.13,243.94,241.73,241.82,2630136
188,UNH,2019-06-07,242.9,247.07,242.19,246.77,2837457
189,UNH,2019-06-10,247.08,249.67,245.99,248.14,2330953
190,UNH,2019-06-11,248.52,250.69,245.73,245.87,3043114
191,UNH,2019-06-12,246.2,246.5,242.3,244.5,3251825
192,UNH,2019-06-13,244.82,245.34,243.12,244.96,3108249
193,UNH,2019-06-14,244.72,246.1,242.79,245.37,2165579
194,UNH,2019-06-17,246.0,247.1,245.22,245.97,2270430
195,UNH,2019-06-18,247.5,249.34,245.15,245.7,3482480
196,UNH,2019-06-19,246.0,251.37,245.51,250.19,4204589
197,UNH,2019-06-20,251.6,252.82,247.4,247.76,3800826
198,UNH,2019-06-21,248.78,253.49,246.9,252.28,6323527
199,UNH,2019-06-24,251.33,252.63,247.86,249.64,3163758
200,UNH,2019-06-25,249.3,251.04,247.42,247.66,3183010
201,UNH,2019-06-26,248.0,248.08,243.13,243.47,3852920
202,UNH,2019-06-27,244.26,248.15,243.16,246.34,3366173
203,UNH,2019-06-28,246.5,246.75,238.65,244.01,6727648
204,UNH,2019-07-01,245.95,246.17,240.72,242.64,4109079
205,UNH,2019-07-02,242.59,243.99,239.54,243.97,3864785
206,UNH,2019-07-03,244.32,247.52,244.04,245.21,2559448
207,UNH,2019-07-05,244.39,248.76,244.06,246.99,2965094
208,UNH,2019-07-08,246.41,247.98,244.88,247.84,1902630
209,UNH,2019-07-09,244.63,246.08,243.69,246.0,2775012
210,UNH,2019-07-10,246.82,249.11,245.48,247.48,2753028
211,UNH,2019-07-11,255.8,261.69,249.05,261.16,10268790
212,UNH,2019-07-12,261.63,266.52,261.63,265.9,5336201
213,UNH,2019-07-15,265.06,267.65,264.25,265.96,2611403
214,UNH,2019-07-16,265.33,267.14,263.19,264.66,3121564
215,UNH,2019-07-17,264.0,268.69,263.5,266.65,3995150
216,UNH,2019-07-18,265.64,266.51,257.26,260.6,5827020
217,UNH,2019-07-19,261.1,262.72,256.4,256.65,4413227
218,UNH,2019-07-22,258.14,258.95,254.53,255.32,4104305
219,UNH,2019-07-23,254.47,256.1,252.02,255.01,2889283
220,UNH,2019-07-24,252.79,252.83,245.13,251.13,4864203
221,UNH,2019-07-25,251.13,252.75,248.29,248.7,3362958
222,UNH,2019-07-26,249.02,253.88,246.51,252.94,3362651
223,UNH,2019-07-29,252.84,255.3,252.34,253.82,2005512
224,UNH,2019-07-30,252.66,255.06,250.47,254.93,1908834
225,UNH,2019-07-31,256.32,257.16,248.48,249.01,3532351
226,UNH,2019-08-01,249.19,251.58,247.28,249.25,3613635
227,UNH,2019-08-02,249.69,251.57,246.1,250.05,2677632
228,UNH,2019-08-05,248.13,249.94,242.59,245.06,5812447
229,UNH,2019-08-06,245.93,248.28,243.57,248.28,3532969
230,UNH,2019-08-07,246.27,247.04,241.26,246.45,3205805
231,UNH,2019-08-08,246.19,247.67,243.37,247.62,2830705
232,UNH,2019-08-09,247.72,250.42,246.14,248.63,2535030
233,UNH,2019-08-12,246.79,247.96,243.03,243.2,3550184
234,UNH,2019-08-13,241.68,250.46,241.51,249.22,2774735
235,UNH,2019-08-14,246.73,248.41,243.01,243.2,3464315
236,UNH,2019-08-15,244.35,245.26,241.45,244.25,2513465
237,UNH,2019-08-16,245.38,247.11,244.18,245.69,2810022
238,UNH,2019-08-19,247.49,248.49,244.09,244.71,2672254
239,UNH,2019-08-20,244.21,244.6,239.92,240.16,3201507
240,UNH,2019-08-21,240.19,241.89,239.3,240.35,2761928
241,UNH,2019-08-22,240.35,240.35,232.67,232.94,4498791
242,UNH,2019-08-23,232.9,235.1,229.38,230.66,4827798
243,UNH,2019-08-26,232.52,234.56,230.46,231.08,2918839
244,UNH,2019-08-27,231.72,232.4,222.6,222.93,4988764
245,UNH,2019-08-28,222.42,229.77,220.78,227.35,4847412
246,UNH,2019-08-29,228.42,232.3,228.01,230.62,4052586
247,UNH,2019-08-30,233.67,235.05,232.29,234.0,3384133
248,UNH,2019-09-03,231.74,232.17,228.47,230.62,3381979
249,UNH,2019-09-04,231.95,232.95,226.5,226.73,4526047
250,UNH,2019-09-05,230.0,231.51,227.58,229.59,4256911
251,UNH,2019-09-06,230.17,231.96,228.59,229.0,4183195
252,UNH,2019-09-09,229.0,232.0,228.56,230.68,3895558
253,UNH,2019-09-10,231.45,234.29,230.83,232.46,4257570
254,UNH,2019-09-11,232.49,234.25,228.58,234.21,3167732
255,UNH,2019-09-12,235.0,236.4,229.7,230.1,4710026
256,UNH,2019-09-13,232.99,236.56,231.54,233.61,4523112
257,UNH,2019-09-16,232.82,236.05,232.15,234.43,2973582
258,UNH,2019-09-17,233.07,233.99,231.17,232.52,2408251
259,UNH,2019-09-18,230.8,233.13,229.23,230.61,2977007
260,UNH,2019-09-19,232.0,233.95,231.23,232.85,2725773
261,UNH,2019-09-20,234.77,235.0,231.92,232.89,6253041
262,UNH,2019-09-23,229.77,230.78,228.32,228.77,3483928
263,UNH,2019-09-24,229.38,229.84,222.92,225.0,5047174
264,UNH,2019-09-25,224.28,226.5,222.13,222.17,4672081
265,UNH,2019-09-26,223.04,223.63,213.43,215.48,10455488
266,UNH,2019-09-27,218.18,218.88,215.02,215.26,4834816
267,UNH,2019-09-30,213.64,218.53,213.12,217.32,5329871
268,UNH,2019-10-01,219.19,219.19,212.08,217.21,5529703
269,UNH,2019-10-02,216.15,219.36,215.28,216.75,4925322
270,UNH,2019-10-03,215.63,216.36,213.05,215.36,3858573
271,UNH,2019-10-04,216.84,219.86,215.14,219.8,3711041
272,UNH,2019-10-07,219.05,222.53,218.99,221.24,3874304
273,UNH,2019-10-08,219.49,221.98,218.4,220.11,4876735
274,UNH,2019-10-09,221.71,223.47,220.17,222.08,4501243
275,UNH,2019-10-10,218.19,224.13,217.52,223.73,5300342
276,UNH,2019-10-11,225.54,228.85,221.59,222.07,5918800
277,UNH,2019-10-14,221.63,223.34,219.9,220.59,4291254
278,UNH,2019-10-15,232.69,239.84,231.09,238.59,13467446
279,UNH,2019-10-16,236.29,237.48,234.08,236.99,5395723
280,UNH,2019-10-17,238.69,244.61,237.27,243.67,6627446
281,UNH,2019-10-18,244.45,246.41,241.76,245.34,4922121
282,UNH,2019-10-21,245.02,245.6,242.15,243.92,3179077
283,UNH,2019-10-22,243.64,251.5,243.15,249.48,5797356
284,UNH,2019-10-23,248.39,251.75,246.73,247.8,3910170
285,UNH,2019-10-24,248.03,248.49,243.91,244.51,2558234
286,UNH,2019-10-25,243.91,246.08,242.15,244.91,2814949
287,UNH,2019-10-28,245.26,248.39,244.92,247.05,2954092
288,UNH,2019-10-29,247.04,253.2,246.31,252.29,3510607
289,UNH,2019-10-30,252.17,255.28,251.98,254.8,3299164
290,UNH,2019-10-31,254.38,255.72,249.91,252.7,3960344
291,UNH,2019-11-01,253.99,256.33,252.16,252.21,2918412
292,UNH,2019-11-04,253.63,253.83,249.91,251.25,3185927
293,UNH,2019-11-05,253.74,254.27,250.09,250.3,5391566
294,UNH,2019-11-06,249.71,251.99,249.09,250.52,3667273
295,UNH,2019-11-07,251.95,256.75,251.26,256.46,3643880
296,UNH,2019-11-08,256.77,258.34,255.0,256.97,2200245
297,UNH,2019-11-11,255.05,256.46,253.33,254.09,1753781
298,UNH,2019-11-12,253.59,255.76,253.41,255.25,1892490
299,UNH,2019-11-13,254.87,256.88,253.19,253.57,3423640
300,UNH,2019-11-14,253.8,256.08,253.47,255.83,2101895
301,UNH,2019-11-15,256.11,275.57,255.36,269.4,10135764
302,UNH,2019-11-18,269.0,278.45,269.0,272.93,6985184
303,UNH,2019-11-19,275.24,275.36,271.55,274.23,3996075
304,UNH,2019-11-20,272.25,276.03,271.24,275.56,4141566
305,UNH,2019-11-21,275.22,277.68,273.91,276.55,3309835
306,UNH,2019-11-22,276.53,277.77,275.0,276.84,2802656
307,UNH,2019-11-25,277.78,283.0,277.01,282.67,4082902
308,UNH,2019-11-26,280.71,282.25,280.16,281.4,3000164
309,UNH,2019-11-27,281.01,281.93,278.69,280.67,2323945
310,UNH,2019-11-29,278.1,280.92,277.33,279.87,1520936
311,UNH,2019-12-02,281.78,282.0,278.57,279.66,2517060
312,UNH,2019-12-03,276.97,278.42,273.85,276.9,3256979
313,UNH,2019-12-04,281.62,281.84,278.64,279.32,2694083
314,UNH,2019-12-05,279.24,282.82,277.48,282.0,3357292
315,UNH,2019-12-06,282.84,283.04,279.11,280.19,2828890
316,UNH,2019-12-09,280.77,280.87,277.42,277.54,2697049
317,UNH,2019-12-10,277.6,279.6,274.01,279.52,2515210
318,UNH,2019-12-11,278.3,280.66,278.03,280.5,2546407
319,UNH,2019-12-12,281.03,283.99,280.04,283.61,2995769
320,UNH,2019-12-13,284.97,287.81,284.12,285.48,3599254
321,UNH,2019-12-16,287.97,295.44,287.06,292.03,4663327
322,UNH,2019-12-17,291.24,292.78,289.17,290.47,4409072
323,UNH,2019-12-18,291.0,294.86,290.99,292.9,3535608
324,UNH,2019-12-19,295.0,297.2,293.62,294.62,2905870
325,UNH,2019-12-20,298.9,300.0,292.51,292.59,6606636
326,UNH,2019-12-23,293.43,295.85,292.81,295.09,2098935
327,UNH,2019-12-24,295.26,295.83,293.56,294.54,714032
328,UNH,2019-12-26,295.3,296.26,294.54,295.65,1050578
329,UNH,2019-12-27,296.01,296.54,295.01,295.97,1547073
330,UNH,2019-12-30,296.05,296.54,293.45,293.85,1511688
331,UNH,2019-12-31,293.66,294.09,291.15,293.98,2224187
332,UNH,2020-01-02,293.98,295.7,289.79,292.5,2543430
333,UNH,2020-01-03,287.27,291.88,284.36,289.54,2711442
334,UNH,2020-01-06,288.0,291.66,287.22,291.55,3075610
335,UNH,2020-01-07,290.7,291.49,287.58,289.79,2496065
336,UNH,2020-01-08,291.5,297.38,290.04,295.9,3379131
337,UNH,2020-01-09,294.29,297.2,293.72,294.22,2838201
338,UNH,2020-01-10,296.07,296.07,292.21,295.13,2477918
339,UNH,2020-01-13,294.37,294.45,285.02,285.85,6994688
340,UNH,2020-01-14,285.6,288.24,284.25,288.24,6052841
341,UNH,2020-01-15,289.02,299.64,289.0,296.41,6081200
342,UNH,2020-01-16,298.0,300.99,295.93,300.74,3709349
343,UNH,2020-01-17,300.01,300.7,295.88,298.47,4363150
344,UNH,2020-01-21,296.89,302.54,296.01,300.53,4962781
345,UNH,2020-01-22,301.99,302.13,297.35,300.59,3117557
346,UNH,2020-01-23,300.01,300.58,296.65,299.46,3169596
347,UNH,2020-01-24,298.34,299.93,291.56,292.81,3677979
348,UNH,2020-01-27,288.0,288.08,280.07,284.09,4399151
349,UNH,2020-01-28,283.91,288.37,283.3,285.87,4340903
350,UNH,2020-01-29,284.0,286.19,280.89,282.9,3962202
351,UNH,2020-01-30,281.84,281.84,275.92,280.98,4211121
352,UNH,2020-01-31,278.17,278.78,271.18,272.45,5532583
353,UNH,2020-02-03,275.13,276.85,270.82,274.02,5646834
354,UNH,2020-02-04,277.28,283.5,276.88,280.84,4290155
355,UNH,2020-02-05,285.6,297.0,285.44,295.73,5760323
356,UNH,2020-02-06,297.0,297.27,290.0,292.46,3043940
357,UNH,2020-02-07,292.87,293.39,288.91,289.22,3425916
358,UNH,2020-02-10,286.23,289.29,285.45,287.03,3145784
359,UNH,2020-02-11,286.85,291.57,285.9,290.79,2990166
360,UNH,2020-02-12,295.0,305.0,294.01,303.48,6701787
361,UNH,2020-02-13,300.14,305.9,300.14,302.2,3565456
362,UNH,2020-02-14,302.21,303.97,297.31,298.78,2485560
363,UNH,2020-02-18,299.67,303.35,299.0,302.14,3241661
364,UNH,2020-02-19,303.37,306.71,302.73,305.31,3020954
365,UNH,2020-02-20,303.2,304.16,297.89,302.13,2883665
366,UNH,2020-02-21,300.47,302.51,298.61,301.43,2987070
367,UNH,2020-02-24,286.89,288.99,277.64,277.79,8783911
368,UNH,2020-02-25,280.15,281.98,262.01,263.39,8167844
369,UNH,2020-02-26,264.72,269.83,258.71,263.0,6806558
370,UNH,2020-02-27,258.42,262.15,252.07,253.92,7600729
371,UNH,2020-02-28,246.2,257.1,245.3,254.96,9959339
372,UNH,2020-03-02,257.34,273.24,250.32,273.11,8863396
373,UNH,2020-03-03,275.35,280.35,259.23,261.4,9179952
374,UNH,2020-03-04,290.0,295.84,282.21,289.42,14530318
375,UNH,2020-03-05,281.6,289.42,279.94,282.96,5907644
376,UNH,2020-03-06,275.42,284.97,271.9,283.87,5361322
377,UNH,2020-03-09,264.46,281.44,259.24,273.44,8057145
378,UNH,2020-03-10,279.72,283.9,272.5,280.0,7363915
379,UNH,2020-03-11,274.76,285.24,273.26,277.78,7724616
380,UNH,2020-03-12,260.0,272.23,250.0,250.41,10361301
381,UNH,2020-03-13,260.99,273.22,242.27,272.04,9302268
382,UNH,2020-03-16,243.92,245.68,223.95,225.04,10294054
383,UNH,2020-03-17,230.82,248.76,228.29,244.22,9640576
384,UNH,2020-03-18,225.75,231.45,200.19,217.06,12655441
385,UNH,2020-03-19,216.98,226.12,208.94,219.8,8062892
386,UNH,2020-03-20,223.18,232.64,203.46,206.59,9362637
387,UNH,2020-03-23,202.04,205.75,187.72,194.86,10651402
388,UNH,2020-03-24,202.14,220.27,199.0,219.8,8885537
389,UNH,2020-03-25,219.09,247.51,216.0,234.49,10012757
390,UNH,2020-03-26,234.03,257.96,232.3,255.39,7517518
391,UNH,2020-03-27,242.94,251.6,238.24,242.45,4879463
392,UNH,2020-03-30,242.64,254.09,242.64,251.28,5327921
393,UNH,2020-03-31,243.48,254.53,243.0,249.38,5449215
394,UNH,2020-04-01,238.69,246.61,235.44,237.32,4546746
395,UNH,2020-04-02,235.3,242.0,226.03,240.44,4336650
396,UNH,2020-04-03,238.32,239.34,227.27,229.49,4649266
397,UNH,2020-04-06,240.0,249.29,235.12,248.34,6365311
398,UNH,2020-04-07,259.81,266.71,246.54,248.04,4982587
399,UNH,2020-04-08,247.69,269.16,246.26,267.83,6385882
400,UNH,2020-04-09,265.0,270.4,261.6,264.13,4922000
401,UNH,2020-04-13,262.06,264.96,258.18,263.51,2964686
402,UNH,2020-04-14,269.0,273.07,267.0,270.5,4772207
403,UNH,2020-04-15,276.33,282.99,270.68,281.68,7839788
404,UNH,2020-04-16,283.44,300.0,280.01,298.43,7735550
405,UNH,2020-04-17,300.99,304.0,287.1,290.56,5856978
406,UNH,2020-04-20,285.3,289.01,281.27,282.14,4071143
407,UNH,2020-04-21,274.95,280.0,273.25,274.19,3975331
408,UNH,2020-04-22,279.58,283.82,276.71,277.02,3663332
409,UNH,2020-04-23,279.06,288.46,278.54,285.33,4417842
410,UNH,2020-04-24,287.29,291.9,284.0,291.29,3264950
411,UNH,2020-04-27,293.21,296.86,290.63,293.98,3705579
412,UNH,2020-04-28,298.0,298.25,285.62,288.36,3861362
413,UNH,2020-04-29,292.0,292.75,286.1,287.65,4254069
414,UNH,2020-04-30,286.65,295.0,285.52,292.47,7629191
415,UNH,2020-05-01,288.39,289.0,279.6,284.51,3526099
416,UNH,2020-05-04,284.49,287.94,282.11,287.54,2894192
417,UNH,2020-05-05,289.96,296.0,287.29,293.04,2500455
418,UNH,2020-05-06,295.1,297.68,288.44,288.77,2578448
419,UNH,2020-05-07,291.06,292.29,284.52,285.0,3162328
420,UNH,2020-05-08,289.49,290.0,285.66,287.0,3199949
421,UNH,2020-05-11,285.56,290.1,285.26,288.69,3490697
