new_column,ts_code,trade_date,open,high,low,close,vol
412,AAPL,2020-04-28,285.08,285.83,278.2,278.58,28001187
413,AAPL,2020-04-29,284.73,289.67,283.89,287.73,34320204
414,AAPL,2020-04-30,289.96,294.53,288.35,293.8,45765968
415,AAPL,2020-05-01,286.25,299.0,285.85,289.07,60154175
416,AAPL,2020-05-04,289.17,293.69,286.32,293.16,33391986
417,AAPL,2020-05-05,295.06,301.0,294.46,297.56,36937795
418,AAPL,2020-05-06,300.46,303.24,298.87,300.63,35583438
419,AAPL,2020-05-07,303.22,305.17,301.97,303.74,28803764
420,AAPL,2020-05-08,305.64,310.35,304.29,310.13,33511985
421,AAPL,2020-05-11,308.1,317.05,307.24,315.01,36486561
422,AAPL,2020-05-12,317.83,319.69,310.91,311.41,40575263
423,AAPL,2020-05-13,312.15,315.95,303.21,307.65,50155639
424,AAPL,2020-05-14,304.51,309.79,301.53,309.54,39732269
425,AAPL,2020-05-15,300.35,307.9,300.21,307.71,41587094
426,AAPL,2020-05-18,313.17,316.5,310.32,314.96,33843125
427,AAPL,2020-05-19,315.03,318.52,313.01,313.14,25432385
428,AAPL,2020-05-20,316.68,319.52,316.52,319.23,27876215
429,AAPL,2020-05-21,318.66,320.89,315.87,316.85,25672211
430,AAPL,2020-05-22,315.77,319.23,315.35,318.89,20450754
431,AAPL,2020-05-26,323.5,324.24,316.5,316.73,31380454
432,AAPL,2020-05-27,316.14,318.71,313.09,318.11,28236274
433,AAPL,2020-05-28,316.77,323.44,315.63,318.25,33449103
434,AAPL,2020-05-29,319.25,321.15,316.47,317.94,38399532
435,AAPL,2020-06-01,317.75,322.35,317.21,321.85,20254653
436,AAPL,2020-06-02,320.75,323.44,318.93,323.34,21910704
437,AAPL,2020-06-03,324.66,326.2,322.3,325.12,26122804
438,AAPL,2020-06-04,324.39,325.62,320.78,322.32,21890091
439,AAPL,2020-06-05,323.35,331.75,323.23,331.5,34312550
440,AAPL,2020-06-08,330.25,333.6,327.32,333.46,23913634
441,AAPL,2020-06-09,332.14,345.61,332.01,343.99,36928091
442,AAPL,2020-06-10,347.9,354.77,346.09,352.84,41662938
443,AAPL,2020-06-11,349.31,351.06,335.48,335.9,50415613
444,AAPL,2020-06-12,344.72,347.8,334.22,338.8,50036513
445,AAPL,2020-06-15,333.25,345.68,332.58,342.99,34702230
446,AAPL,2020-06-16,351.46,353.2,344.72,352.08,41357182
447,AAPL,2020-06-17,355.15,355.4,351.09,351.59,28601626
448,AAPL,2020-06-18,351.41,353.45,349.22,351.73,24205096
449,AAPL,2020-06-19,354.64,356.56,345.15,349.72,66118952
450,AAPL,2020-06-22,351.34,359.46,351.15,358.87,33861316
451,AAPL,2020-06-23,364.0,372.38,362.27,366.53,53038869
452,AAPL,2020-06-24,365.0,368.79,358.52,360.06,48155849
453,AAPL,2020-06-25,360.7,365.0,357.57,364.84,34380628
